system_id=1220/year=2015,measured_on,w_n_avg__3288
system_id=1221/year=2011,measured_on,w_avg__3296
system_id=1221/year=2012,measured_on,w_avg__3296
system_id=1221/year=2013,measured_on,w_avg__3296
system_id=1221/year=2014,measured_on,w_avg__3296
system_id=1221/year=2015,measured_on,w_avg__3296
system_id=1222/year=2011,measured_on,w_n_avg__3305
system_id=1222/year=2012,measured_on,w_n_avg__3305
system_id=1222/year=2013,measured_on,w_n_avg__3305
system_id=1222/year=2014,measured_on,w_n_avg__3305
system_id=1222/year=2015,measured_on,w_n_avg__3305
system_id=1223/year=2011,measured_on,w_avg__3313
system_id=1223/year=2012,measured_on,w_avg__3313
system_id=1223/year=2013,measured_on,w_avg__3313
system_id=1223/year=2014,measured_on,w_avg__3313
system_id=1223/year=2015,measured_on,w_avg__3313
system_id=1224/year=2011,measured_on,w_n_avg__3320
system_id=1224/year=2012,measured_on,w_n_avg__3320
system_id=1224/year=2013,measured_on,w_n_avg__3320
system_id=1224/year=2014,measured_on,w_n_avg__3320
system_id=1224/year=2015,measured_on,w_n_avg__3320
system_id=1225/year=2011,measured_on,w_avg__3329
system_id=1225/year=2012,measured_on,w_avg__3329
system_id=1225/year=2013,measured_on,w_avg__3329
system_id=1225/year=2014,measured_on,w_avg__3329
system_id=1225/year=2015,measured_on,w_avg__3329
system_id=1226/year=2011,measured_on,w_n_avg__3336
system_id=1226/year=2012,measured_on,w_n_avg__3336
system_id=1226/year=2013,measured_on,w_n_avg__3336
system_id=1226/year=2014,measured_on,w_n_avg__3336
system_id=1226/year=2015,measured_on,w_n_avg__3336
system_id=1229/year=1998,measured_on,dc_power__886
system_id=1229/year=1999,measured_on,dc_power__886
system_id=1229/year=2000,measured_on,dc_power__886
system_id=1229/year=2001,measured_on,dc_power__886
system_id=1229/year=2002,measured_on,dc_power__886
system_id=1229/year=2003,measured_on,dc_power__886
system_id=1229/year=2004,measured_on,dc_power__886
system_id=1230/year=2002,measured_on,dc_power__889
system_id=1230/year=2003,measured_on,dc_power__889
system_id=1230/year=2004,measured_on,dc_power__889
system_id=1230/year=2005,measured_on,dc_power__889
system_id=1230/year=2006,measured_on,dc_power__889
system_id=1230/year=2007,measured_on,dc_power__889
system_id=1231/year=2000,measured_on,ac_power__896
system_id=1231/year=2001,measured_on,ac_power__896
system_id=1231/year=2002,measured_on,ac_power__896
system_id=1231/year=2003,measured_on,ac_power__896
system_id=1231/year=2004,measured_on,ac_power__896
system_id=1231/year=2005,measured_on,ac_power__896
system_id=1231/year=2006,measured_on,ac_power__896
system_id=1239/year=2011,measured_on,ac_power_metered_kw__3015
system_id=1239/year=2012,measured_on,ac_power_metered_kw__3015
system_id=1239/year=2013,measured_on,ac_power_metered_kw__3015
system_id=1239/year=2014,measured_on,ac_power_metered_kw__3015
system_id=1239/year=2015,measured_on,ac_power_metered_kw__3015
system_id=1239/year=2016,measured_on,ac_power_metered_kw__3015
system_id=1239/year=2017,measured_on,ac_power_metered_kw__3015
system_id=1239/year=2018,measured_on,ac_power_metered_kw__3015
system_id=1239/year=2019,measured_on,ac_power_metered_kw__3015
system_id=1239/year=2020,measured_on,ac_power_metered_kw__3015
system_id=1244/year=2012,measured_on,w_avg__3345
system_id=1244/year=2013,measured_on,w_avg__3345
system_id=1244/year=2014,measured_on,w_avg__3345
system_id=1244/year=2015,measured_on,w_avg__3345
system_id=1245/year=2012,measured_on,w_avg__3349
system_id=1246/year=2012,measured_on,w_avg__3353
system_id=1246/year=2013,measured_on,w_avg__3353
system_id=1246/year=2014,measured_on,w_avg__3353
system_id=1246/year=2015,measured_on,w_avg__3353
system_id=1248/year=2012,measured_on,w_avg__3361
system_id=1248/year=2013,measured_on,w_avg__3361
system_id=1248/year=2014,measured_on,w_avg__3361
system_id=1248/year=2015,measured_on,w_avg__3361
system_id=1249/year=2012,measured_on,w_avg__3365
system_id=1249/year=2013,measured_on,w_avg__3365
system_id=1249/year=2014,measured_on,w_avg__3365
system_id=1250/year=2011,measured_on,w_avg__3369
system_id=1250/year=2012,measured_on,w_avg__3369
system_id=1250/year=2013,measured_on,w_avg__3369
system_id=1250/year=2014,measured_on,w_avg__3369
system_id=1250/year=2015,measured_on,w_avg__3369
system_id=1252/year=2012,measured_on,w_avg__3377
system_id=1252/year=2013,measured_on,w_avg__3377
system_id=1252/year=2014,measured_on,w_avg__3377
system_id=1252/year=2015,measured_on,w_avg__3377
system_id=1253/year=2011,measured_on,w_avg__3381
system_id=1253/year=2012,measured_on,w_avg__3381
system_id=1253/year=2013,measured_on,w_avg__3381
system_id=1253/year=2014,measured_on,w_avg__3381
system_id=1253/year=2015,measured_on,w_avg__3381
system_id=1254/year=2012,measured_on,w_avg__3385
system_id=1254/year=2013,measured_on,w_avg__3385
system_id=1254/year=2014,measured_on,w_avg__3385
system_id=1255/year=2012,measured_on,w_avg__3389
system_id=1255/year=2013,measured_on,w_avg__3389
system_id=1255/year=2014,measured_on,w_avg__3389
system_id=1255/year=2015,measured_on,w_avg__3389
system_id=1256/year=2012,measured_on,w_avg__3393
system_id=1256/year=2013,measured_on,w_avg__3393
system_id=1256/year=2014,measured_on,w_avg__3393
system_id=1257/year=2012,measured_on,w_avg__3397
system_id=1257/year=2013,measured_on,w_avg__3397
system_id=1257/year=2014,measured_on,w_avg__3397
system_id=1257/year=2015,measured_on,w_avg__3397
system_id=1258/year=2012,measured_on,w_avg__3401
system_id=1258/year=2013,measured_on,w_avg__3401
system_id=1258/year=2014,measured_on,w_avg__3401
system_id=1258/year=2015,measured_on,w_avg__3401
system_id=1259/year=2012,measured_on,w_avg__3405
system_id=1259/year=2013,measured_on,w_avg__3405
system_id=1259/year=2014,measured_on,w_avg__3405
system_id=1260/year=2012,measured_on,w_avg__3409
system_id=1261/year=2012,measured_on,w_avg__3413
system_id=1261/year=2013,measured_on,w_avg__3413
system_id=1261/year=2014,measured_on,w_avg__3413
system_id=1262/year=2012,measured_on,w_avg__3417
system_id=1262/year=2013,measured_on,w_avg__3417
system_id=1263/year=2012,measured_on,w_avg__3421
system_id=1263/year=2013,measured_on,w_avg__3421
system_id=1263/year=2014,measured_on,w_avg__3421
system_id=1263/year=2015,measured_on,w_avg__3421
system_id=1264/year=2011,measured_on,w_avg__3425
system_id=1264/year=2012,measured_on,w_avg__3425
system_id=1264/year=2013,measured_on,w_avg__3425
system_id=1264/year=2014,measured_on,w_avg__3425
system_id=1264/year=2015,measured_on,w_avg__3425
system_id=1265/year=2012,measured_on,w_avg__3429
system_id=1265/year=2013,measured_on,w_avg__3429
system_id=1265/year=2014,measured_on,w_avg__3429
system_id=1265/year=2015,measured_on,w_avg__3429
system_id=1266/year=2012,measured_on,w_avg__3433
system_id=1266/year=2013,measured_on,w_avg__3433
system_id=1266/year=2014,measured_on,w_avg__3433
system_id=1266/year=2015,measured_on,w_avg__3433
system_id=1267/year=2012,measured_on,w_avg__3437
system_id=1268/year=2011,measured_on,w_avg__3441
system_id=1268/year=2012,measured_on,w_avg__3441
system_id=1268/year=2013,measured_on,w_avg__3441
system_id=1268/year=2014,measured_on,w_avg__3441
system_id=1268/year=2015,measured_on,w_avg__3441
system_id=1269/year=2012,measured_on,w_avg__3445
system_id=1269/year=2013,measured_on,w_avg__3445
system_id=1269/year=2014,measured_on,w_avg__3445
system_id=1269/year=2015,measured_on,w_avg__3445
system_id=1270/year=2012,measured_on,w_avg__3449
system_id=1270/year=2013,measured_on,w_avg__3449
system_id=1270/year=2014,measured_on,w_avg__3449
system_id=1270/year=2015,measured_on,w_avg__3449
system_id=1271/year=2012,measured_on,w_avg__3453
system_id=1271/year=2013,measured_on,w_avg__3453
system_id=1271/year=2014,measured_on,w_avg__3453
system_id=1271/year=2015,measured_on,w_avg__3453
system_id=1272/year=2011,measured_on,w_avg__3457
system_id=1272/year=2012,measured_on,w_avg__3457
system_id=1272/year=2013,measured_on,w_avg__3457
system_id=1272/year=2014,measured_on,w_avg__3457
system_id=1272/year=2015,measured_on,w_avg__3457
system_id=1273/year=2011,measured_on,w_avg__3461
system_id=1273/year=2012,measured_on,w_avg__3461
system_id=1273/year=2013,measured_on,w_avg__3461
system_id=1273/year=2014,measured_on,w_avg__3461
system_id=1273/year=2015,measured_on,w_avg__3461
system_id=1274/year=2011,measured_on,w_avg__3465
system_id=1274/year=2012,measured_on,w_avg__3465
system_id=1274/year=2013,measured_on,w_avg__3465
system_id=1274/year=2014,measured_on,w_avg__3465
system_id=1275/year=2010,measured_on,ac_power_metered_kw__3023
system_id=1275/year=2011,measured_on,ac_power_metered_kw__3023
system_id=1275/year=2012,measured_on,ac_power_metered_kw__3023
system_id=1275/year=2013,measured_on,ac_power_metered_kw__3023
system_id=1276/year=2011,measured_on,ac_power_hw__3040
system_id=1276/year=2012,measured_on,ac_power_hw__3040
system_id=1276/year=2013,measured_on,ac_power_hw__3040
system_id=1276/year=2014,measured_on,ac_power_hw__3040
system_id=1276/year=2015,measured_on,ac_power_hw__3040
system_id=1276/year=2016,measured_on,ac_power_hw__3040
